,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
GOLL4,PN,GOL LINHAS AEREAS INTELIGENTES SA PN,Transporte,Transporte Aéreo,1855,30/06/2020,560,4379,287827000,6598220000,14329400000,31/03/2020,355699000,"-1,33%","54,20%","54,20%","-43,10%","-49,59%","46,61%","71,92%","216,02%","83,33%","-83,19%",,-278,-060,476,048,042,-091,-031,"0,0%",443,1034,"8,6%",-667,-3103,"26,9%","10,0%","-15,3%","8,9%","11,0%","21,5%",040,-086,088,15624800000,1792530000,4871610000,9523690000,7731160000,-11037300000,13801600000,1385680000,-2373240000,3147730000,70583000,-2288270000,,,,,,
SLED3,ON,EDITORA SARAIVA ON,Mídia,"Jornais, Livros e Revistas",170,30/06/2020,101,545,378010,66208200,459389000,31/03/2020,38946000,"-4,49%","55,96%","55,96%","34,92%","-63,83%","197,47%","-54,73%","-48,37%","100,59%","-56,63%",,-022,-033,-055,011,009,-241,-009,"0,0%",-1140,-383,"-22,1%",-783,-522,"33,4%","-20,0%","-50,7%","-16,5%","-19,5%","150,0%",088,-202,083,727042000,16797000,202033000,409978000,393181000,-203296000,601578000,-120048000,-304943000,136682000,-17186000,-50732000,,,,,,
VVAR3,ON,VIAVAREJO ON,Comércio,Eletrodomésticos,1531,30/06/2020,410,1664,1380230000,24450300000,28026300000,31/03/2020,1597020000,"-0,46%","23,47%","23,47%","201,97%","37,06%","154,44%","-44,57%","121,23%","148,61%","-79,55%",,-1774,3814,2574,095,102,-698,-216,"0,0%",1504,2950,"9,2%",-086,040,"29,4%","3,7%","-5,4%","4,0%","6,2%","-215,0%",077,890,107,23939000000,2129000000,11981000000,5705000000,3576000000,641000000,25664000000,950000000,-1378000000,6339000000,562000000,13000000,,,,,,
RANI3,ON,CELULOSE IRANI ON,Madeira e Papel,Papel e Celulose,465,30/06/2020,253,678,207171,775249000,1494500000,31/03/2020,166720000,"3,33%","37,98%","37,98%","74,11%","16,65%","36,99%","48,22%","-15,45%","-21,02%","-5,75%",,-1403,219,592,086,050,956,-108,"0,2%",598,1142,"5,3%",-033,213,"30,7%","14,5%","-6,1%","8,4%","9,4%","-15,6%",120,231,058,1563840000,98588000,490402000,817837000,719249000,354473000,904078000,130850000,-55241000,236323000,39102000,17988000,,,,,,
OIBR3,ON N1,OI ON N1,Telefonia Fixa,Telefonia Fixa,120,30/06/2020,044,163,181397000,7145050000,25310200000,31/03/2020,5954210000,"-0,83%","60,00%","60,00%","-25,00%","39,53%","-31,20%","-53,87%","38,27%","9,50%","-73,72%",,-045,063,-429,036,010,091,-017,"0,0%",484,-1519,"-7,6%",-266,192,"22,9%","-8,4%","-81,1%","-2,3%","-2,7%","-138,7%",168,214,027,73946600000,6275840000,19359300000,24441000000,18165100000,11425100000,19754700000,-1665770000,-15848900000,4748520000,-392917000,-6280070000,,,,,,
TASA4,PN,TAURUS ARMAS PN,Máquinas e Equipamentos,Armas e Munições,635,30/06/2020,231,744,9804090,561899000,1399950000,31/03/2020,88488000,"-3,79%","44,98%","44,98%","86,76%","6,01%","47,90%","131,43%","19,05%","59,78%","-72,46%",,-477,-135,700,054,048,945,-069,"0,0%",1387,1743,"4,7%",-133,-472,"33,6%","7,7%","-11,3%","6,9%","8,3%","28,2%",108,-217,089,1170330000,66548000,772506000,904602000,838054000,-417283000,1045820000,80319000,-117746000,298320000,36186000,-157124000,,,,,,
BAHI3,ON,BAHEMA ON,Holdings Diversificadas,Holdings Diversificadas,8900,30/06/2020,5850,11600,89124,197523000,182079000,31/03/2020,2219360,"0,00%","27,87%","27,87%","-16,99%","-8,76%","-20,81%","120,66%","112,65%","-1,28%","-34,76%",,-1074,200,-2180,246,047,-754,-078,"0,0%",-2433,-2009,"155,3%",-829,4460,"37,6%","-11,3%","-22,7%","-2,2%","-2,4%","-18,6%",069,025,019,416661000,40233000,58204000,24789000,-15444000,98985000,80448000,-9061000,-18390000,38431000,-636000,-11015000,,,,,,
BDLL4,PN,BAEDELLA PN,Máquinas e Equipamentos,Máqs e Equips Industriais,829,30/06/2020,600,2200,23969,13264000,241812000,30/09/2019,1600000,"1,10%","18,43%","18,43%","-27,91%","2,73%","-53,89%","-41,22%","-18,44%","-1,38%","-24,14%",,-013,105,-026,025,002,-008,-002,"0,0%",-571,-477,"-43,3%",-6541,787,"-31,0%","-93,6%","-193,3%","-6,0%","-6,8%","-831,3%",062,1816,006,837950000,18000,275437000,228566000,228548000,12589000,54128000,-50668000,-104656000,7565000,-14159000,-36091000,,,,,,
BBRK3,ON NM,BR Brokers ON NM,Construção e Engenharia,Intermediação Imobiliária,235,30/06/2020,121,694,2138060,85254000,36286000,31/03/2020,36278300,"-2,08%","6,82%","6,82%","-55,24%","-60,17%","-6,35%","-36,36%","-32,65%","20,49%","-46,26%",,-057,048,-416,064,026,294,-199,"0,0%",-499,-177,"0,3%",-414,493,"72,2%","-15,5%","-98,4%","-6,3%","-7,5%","-83,9%",148,-,041,325644000,48968000,89170000,0,-48968000,178802000,132740000,-20510000,-150092000,31603000,-7255000,-71135000,,,,,,
OIBR4,ON N1,OI ON N1,Telefonia Fixa,Telefonia Fixa,150,30/06/2020,085,179,4076210,8931310000,27096500000,31/03/2020,5954210000,"-0,66%","36,36%","36,36%","-9,09%","21,95%","-2,38%","-50,39%","53,94%","15,38%","-76,82%",,-056,078,-536,045,012,114,-021,"0,0%",518,-1627,"-7,6%",-266,192,"22,9%","-8,4%","-81,1%","-2,3%","-2,7%","-138,7%",168,214,027,73946600000,6275840000,19359300000,24441000000,18165100000,11425100000,19754700000,-1665770000,-15848900000,4748520000,-392917000,-6280070000,,,,,,
VIVR3,ON NM,VIVER ON NM,Construção e Engenharia,Construção Civil,168,30/06/2020,063,295,1589780,101522000,293841000,31/03/2020,60430000,"-1,18%","42,85%","42,85%","2,75%","-22,14%","-45,53%","-70,44%","16,06%","-48,11%","-70,03%",,-047,-070,-146,-077,020,-041,-023,"0,0%",-441,-423,"-27,0%",-357,-239,"25,8%","52,6%","163,7%","-13,9%","-14,5%","149,5%",044,-137,-027,498103000,6155000,193231000,198474000,192319000,-144472000,-132066000,-69460000,-216033000,9638000,-8386000,-10317000,,,,,,
CEDO4,PN,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,714,30/06/2020,429,1350,104040,71400000,282616000,31/03/2020,10000000,"-3,51%","34,97%","34,97%","32,71%","-17,74%","44,67%","-12,02%","139,30%","-63,83%","-19,59%",,-745,044,2058,010,010,-331,-030,"0,0%",1207,8145,"14,5%",-096,1612,"12,3%","0,5%","-0,8%","0,5%","0,6%","-5,9%",094,148,095,740216000,27431000,317102000,238647000,211216000,161177000,702379000,3470000,-9581000,161198000,946000,-11457000,,,,,,
GBIO33,DR3,BIOTOSCANA DR3,Saúde,Medicamentos e Outros Produtos,1008,30/06/2020,743,1055,1325110,1074750000,1299170000,31/03/2020,106622000,"0,80%","1,10%","1,10%","33,16%","1,41%","19,90%","-59,76%","-24,46%","0,00%","0,00%",,-1827,132,1063,145,076,798,2625,"0,0%",1285,1285,"-4,9%",-055,761,"44,9%","13,7%","-7,9%","7,2%","8,7%","-7,2%",127,034,052,1411270000,52329100,640655000,276749000,224420000,811568000,740623000,101098000,-58821600,146231000,4079260,-52424200,,,,,,
ADHM3,,VITALYZEME,Prods de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,252,30/06/2020,110,335,189169,41096200,41096200,30/09/2019,16308000,"-1,56%","7,69%","7,69%","126,46%","14,96%","74,67%","-26,47%","-35,44%","0,00%","0,00%",,-660,-208,-919,124534,16982,-231,-206,"0,0%",-938,-919,"43,5%",-038,-121,"100,0%","-13548,5%","-18860,6%","-1847,5%","521,7%","31,5%",000,-,014,242000,0,23000,0,0,-19776000,33000,-4471000,-6224000,33000,-993000,-2492000,,,,,,
MSPA3,ON,MELHORAMENTOS ON,Madeira e Papel,Papel e Celulose,4700,18/06/2020,4500,5500,632,301035000,325729000,31/03/2020,6405000,"0,00%","1,08%","1,08%","0,00%","-6,00%","5,09%","13,20%","19,68%","87,71%","-12,49%",,-707,035,-853,250,021,436,-067,"0,0%",-1617,-923,"-25,6%",-665,13575,"35,2%","-29,3%","-35,3%","-2,5%","-2,6%","-4,9%",274,007,008,1426660000,33557000,108812000,58251000,24694000,869463000,120627000,-35304000,-42564000,29217000,-9601000,-12853000,,,,,,
LOGN3,ON NM,Log-In ON NM,Transporte,Transporte Hidroviário,1464,30/06/2020,1108,2570,19316100,1544360000,2297470000,31/03/2020,105489000,"-0,88%","4,95%","4,95%","35,93%","-29,95%","167,95%","155,74%","36,16%","-57,58%","-60,95%",,-1420,758,1627,142,080,314,-181,"0,0%",1163,2420,"4,1%",-103,193,"17,1%","8,8%","-10,0%","4,9%","7,9%","-53,3%",232,655,057,1919760000,581122000,863471000,1334230000,753109000,203852000,1084840000,94937000,-108738000,271339000,18468000,-114652000,,,,,,
SPRI5,PNA,SPRINGER PNA,Utilidades Domésticas,Eletrodomésticos,1225,25/06/2020,505,1918,4021,30980200,30979400,31/03/2020,2529000,"0,00%","39,20%","39,20%","122,73%","19,51%","210,61%","-58,75%","-2,56%","-55,62%","-9,76%",,-919,98225,-710,-,94303,-,-,"0,0%",-715,-710,"-83,5%",-133,001,-,-,"0,0%","-13283,0%",-,"-10686,0%",-,-,-,32852,863,10101,0,-863,31540,0,-4363730,-3370360,0,-1726,-3364,,,,,,
ETER3,ON,ETERNIT ON,Construção e Engenharia,Materiais de Construção,358,30/06/2020,196,685,2097600,113751000,226612000,31/03/2020,31774000,"-4,28%","35,09%","35,09%","62,45%","-10,38%","52,69%","-49,27%","-30,38%","-36,80%","-28,45%",,-5617,-644,-231,024,021,-1480,-035,"0,0%",-744,-461,"-16,0%",-006,-056,"14,3%","-10,3%","-0,4%","-8,9%","-10,3%","11,5%",097,-700,087,552460000,10866000,245358000,123727000,112861000,-17668000,478627000,-49158000,-2025000,113636000,-9302000,-14848000,,,,,,
BKBR3,ON NM,BK BRASIL ON NM,Hoteis e Restaurantes,Restaurante e Similares,1144,30/06/2020,685,2268,24992300,2609520000,2833200000,31/03/2020,228105000,"10,75%","-5,92%","-5,92%","-48,41%","-35,46%","-13,73%","18,45%","-0,85%","0,00%","0,00%",,-25710,150,5352,092,076,3285,-267,"0,4%",799,5810,"23,3%",-004,761,"61,6%","1,7%","-0,4%","1,4%","1,7%","-0,6%",112,040,083,3429390000,467696000,715139000,691373000,223677000,1735260000,2851740000,48761100,-10150000,649078000,-70983000,-55642000,,,,,,
AMAR3,ON NM,LOJAS MARISA ON NM,Comércio,"Tecidos, Vestuário e Calçados",835,30/06/2020,375,1528,66061800,2184920000,3185970000,31/03/2020,261667000,"1,21%","10,01%","10,01%","6,37%","-37,12%","155,88%","-28,41%","21,64%","22,89%","-63,23%",,-996,165,700,077,064,272,-909,"0,0%",500,1021,"-1,9%",-084,506,"45,1%","11,0%","-10,0%","9,1%","11,2%","-16,6%",176,095,083,3418120000,251314000,1853790000,1252370000,1001050000,1323970000,2847580000,311916000,-219475000,569772000,17303000,-107114000,,,,,,
TELB3,ON,TELEBRAS ON,Outros,Outros,15650,30/06/2020,2275,29412,243059,10620900000,10015900000,31/03/2020,67865000,"2,96%","103,88%","103,88%","516,87%","54,95%","266,34%","-26,28%","54,93%","8,45%","45,68%",,-7152,651,-3795,4683,246,1110,-731,"0,0%",-11311,-3579,"13,4%",-219,2404,"-85,2%","-123,4%","-65,5%","-6,5%","-8,3%","-9,1%",458,017,005,4308760000,878109000,1224170000,273135000,-604974000,1631740000,226820000,-279845000,-148504000,63513000,-55563000,-27863000,,,,,,
JBSS3,ON NM,JBS ON NM,Alimentos,Carnes e Derivados,2115,30/06/2020,1637,3245,454508000,57713000000,114683000000,31/03/2020,2728750000,"0,28%","-3,73%","-3,73%","1,97%","-16,13%","122,61%","18,75%","-13,63%","-3,25%","17,98%",,-6028,192,421,027,038,231,-095,"2,6%",567,837,"5,9%",-035,1103,"15,4%","6,3%","-0,3%","8,9%","11,8%","-3,2%",174,251,141,153311000000,18466200000,58757200000,75436600000,56970400000,30089300000,216635000000,13704100000,-957395000,56481400000,2223690000,-5933020000,,,,,,
KLBN11,UNT N2,KLABIN UNT N2,Madeira e Papel,Papel e Celulose,2033,30/06/2020,1281,2325,190424000,22560200000,42941300000,31/03/2020,5548500000,"0,40%","3,15%","3,15%","29,02%","10,54%","21,76%","-4,93%","2,89%","-22,24%","67,64%",,-983,782,1141,217,067,250,-123,"3,2%",982,2171,"15,8%",-207,260,"34,3%","19,1%","-21,5%","5,8%","7,8%","-79,5%",393,956,031,33839200000,7214980000,12108900000,27596100000,20381100000,2885760000,10373200000,1977780000,-2293890000,2591390000,598108000,-3170510000,,,,,,
JFEN3,ON,JOÃO FORTES ENGENHARIA SA ON,Construção e Engenharia,Construção Civil,415,30/06/2020,149,1081,539752,436597000,1039590000,31/12/2018,105204000,"-4,60%","54,28%","54,28%","40,68%","56,60%","-22,06%","-49,25%","-60,59%","-27,35%","-28,66%",,-107,130,-296,442,025,090,-541,"0,0%",-712,-706,"-41,8%",-386,320,"-62,8%","-149,2%","-433,1%","-8,4%","-8,8%","-120,9%",152,184,006,1754150000,16806000,1412640000,619803000,602997000,336159000,98781000,-147337000,-406428000,8099000,-52198000,-217295000,,,,,,
MEAL3,ON NM,IMC S/A ON NM,Hoteis e Restaurantes,Restaurante e Similares,400,30/06/2020,244,950,35831300,783680000,1060370000,31/03/2020,195920000,"0,76%","12,36%","12,36%","-49,37%","-52,38%","30,23%","-18,35%","79,95%","22,63%","-38,59%",,-1452,064,-4879,049,028,-222,-076,"0,0%",1914,-6601,"1,3%",-028,628,"30,5%","-1,0%","-3,4%","-0,6%","-0,7%","-4,4%",059,045,058,2782370000,276557000,518725000,553252000,276695000,1230240000,1607510000,-16063000,-53977000,366642000,-38226000,-46138000,,,,,,
KLBN4,PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,410,30/06/2020,255,465,11400500,22748800000,43130000000,31/03/2020,5548500000,"1,74%","4,86%","4,86%","39,40%","15,61%","31,67%","-3,89%","14,12%","-22,01%","40,09%",,-992,788,1150,219,067,252,-124,"3,2%",987,2181,"15,8%",-041,052,"34,3%","19,1%","-21,5%","5,8%","7,8%","-79,5%",393,956,031,33839200000,7214980000,12108900000,27596100000,20381100000,2885760000,10373200000,1977780000,-2293890000,2591390000,598108000,-3170510000,,,,,,
MMXM3,ON NM,MMX MINER ON NM,Mineração,Minerais Metálicos,198,30/06/2020,137,284,59468,12846200,253756000,31/03/2020,6488000,"-0,50%","20,73%","20,73%","-4,35%","-22,35%","18,60%","-27,36%","-46,67%","-3,48%","-66,67%",,-007,-002,-013,2524,010,-002,-001,"0,0%",-249,-249,"9,5%",-2802,-12342,"-11,2%","-20051,7%","-35805,3%","-81,7%","-139,5%","22,7%",003,-030,000,124950000,739000,23132000,241649000,240910000,-800741000,509000,-102063000,-181806000,256000,-1267000,-68676000,,,,,,
PRNR3,ON NM,PRINER ON NM,Serviços,Serviços Diversos,970,30/06/2020,658,1497,2597920,369037000,301220000,31/03/2020,38045000,"-1,32%","6,59%","6,59%","-27,61%","-27,61%","0,00%","0,00%","0,00%","0,00%","0,00%",,-16828,156,4255,110,101,192,282,"0,0%",1046,3473,"13,8%",-006,620,"14,2%","2,6%","-2,1%","2,4%","4,1%","-0,9%",374,034,092,366641000,147452000,262314000,79635000,-67817000,235884000,336854000,8672000,-2193000,71122000,2799000,4044000,,,,,,
RNEW11,UNT N2,RENOVA UNT N2,Energia Elétrica,Energia Elétrica,945,30/06/2020,554,2210,253481,131418000,1678550000,31/03/2020,41720000,"0,64%","53,66%","53,66%","-56,73%","-21,58%","-44,44%","-64,21%","1,00%","-75,85%","-30,31%",,-015,-011,-117,265,006,-005,-004,"0,0%",-1745,-1491,"-33,6%",-6363,-8224,"52,3%","-227,2%","-1785,6%","-4,8%","-5,8%","77,4%",003,-140,002,2343700000,53902000,76833000,1601030000,1547130000,-1143710000,49560000,-112600000,-884938000,12332000,-9760000,-53166000,,,,,,
HBTS5,PNA,CIA HABITASUL PNA,Holdings Diversificadas,Holdings Diversificadas,960,30/06/2020,874,1422,4694,87683400,207394000,31/03/2020,9133690,"-2,14%","6,67%","6,67%","1,60%","-22,79%","46,03%","7,13%","16,47%","46,58%","-41,13%",,-113,037,-113,994,007,-193,-010,"0,5%",-274,-267,"-33,6%",-851,2611,"-7,6%","-879,3%","-880,6%","-6,3%","-6,4%","-32,6%",075,052,001,1227340000,4347000,136795000,124058000,119711000,238465000,8823000,-77579000,-77713000,22796000,4608000,5559000,,,,,,
BSEV3,ON NM,BIOSEV ON NM,Alimentos,Açucar e Alcool,337,30/06/2020,232,767,371562,3438850000,9075570000,31/12/2019,1020430000,"-2,03%","28,14%","28,14%","35,89%","19,08%","-7,52%","-32,15%","-39,38%","54,04%","-32,35%",,-443,1543,947,058,033,1754,-051,"0,0%",434,2500,"-0,9%",-076,022,"14,3%","6,1%","-13,1%","3,5%","3,8%","-348,5%",106,2651,058,10269600000,269429000,3330090000,5906160000,5636730000,222826000,5933470000,362991000,-776624000,1389550000,44155000,2957000,,,,,,
TCSA3,ON NM,TECNISA ON NM,Construção e Engenharia,Construção Civil,1261,30/06/2020,600,2190,28017700,928336000,1026320000,31/03/2020,73619000,"-0,32%","68,13%","68,13%","-5,19%","-31,09%","26,21%","-29,61%","-3,74%","-4,46%","-24,32%",,-295,105,-914,312,057,386,-576,"0,0%",-1096,-1011,"-23,9%",-427,1198,"-5,1%","-34,1%","-107,4%","-6,3%","-7,2%","-35,6%",173,035,018,1617760000,206589000,568955000,304577000,97988000,882145000,297594000,-101545000,-314241000,44057000,-27567000,-58420000,,,,,,
BMGB4,PN N1,BANCO BMG PN N1,Financeiros,Bancos,540,30/06/2020,340,1030,6145000,3193970000,-,31/03/2020,591475000,"0,56%","16,13%","16,13%","-34,23%","-44,84%","19,24%","0,00%","0,00%","0,00%","0,00%",,000,080,-,-,-,-,-,"3,9%",-,-,-,000,671,-,-,-,"0,0%",-,-,-,-,-,21970000000,,,,,3967790000,,,0,,,75625000,10050300000,12918600000,0,0,421700000,13984000
AZUL4,PN,AZUL PN,Transporte,Transporte Aéreo,2011,30/06/2020,1035,6241,513155000,6879430000,26266600000,31/03/2020,342090000,"-2,99%","40,83%","40,83%","-53,55%","-65,49%","61,89%","33,83%","20,09%","0,00%","0,00%",,-079,-071,-501,059,037,-111,-028,"0,0%",1099,-1914,"20,0%",-2541,-2820,"-0,8%","-11,7%","-74,3%","-7,3%","-8,9%","90,1%",037,-214,062,18816900000,1267380000,3572540000,20654600000,19387200000,-9646720000,11703000000,-1372200000,-8691390000,2802670000,158799000,-6150630000,,,,,,
DTCY3,ON,DTCOM ON,Serviços,Serviços Diversos,674,30/06/2020,266,740,32582,52497900,51926900,31/03/2020,7789000,"-2,32%","22,55%","22,55%","161,93%","48,94%","112,50%","-29,41%","-5,56%","-21,74%","15,00%",,-724,869,-1947,322,172,-811,-326,"0,0%",9634,-1925,"4,3%",-093,078,"23,9%","-16,5%","-44,4%","-8,8%","-10,6%","-120,1%",057,039,053,30568000,2932000,8446000,2361000,-571000,6041000,16321000,-2697000,-7254000,7200000,1482000,1337000,,,,,,
IDVL4,PN N1,Indusval PN N1,Financeiros,Bancos,319,30/06/2020,225,560,39196,276888000,-,31/12/2019,86798800,"-3,04%","29,15%","29,15%","-35,56%","-25,81%","1198,31%","-42,74%","-15,83%","36,27%","-57,85%",,-2421,072,-,-,-,-,-,"0,0%",-,-,-,-013,443,-,-,"0,0%","0,0%",-,"-3,0%",-,-,-,2870590000,,,,,384430000,,,-11437000,,,-14618000,144281000,1850210000,7849000,2775000,-7797000,1066000
MOAR3,ON,MONTEIRO ARANHA ON,Holdings Diversificadas,Holdings Diversificadas,15000,30/06/2020,12402,21591,28968,1837650000,1628220000,31/03/2020,12251000,"-6,25%","15,38%","15,38%","-8,69%","-10,10%","9,88%","22,65%","2,84%","22,01%","26,67%",,-4551,199,-3963,-717832,121,433,3613,"5,4%",-3576,-3512,"-3,3%",-330,7534,"100,0%","18112,1%","15969,5%","-3,1%","-5,0%","-4,4%",295,042,-000,1514500000,592664000,642365000,383234000,-209430000,922997000,-256000,-46367000,-40375000,67000,-9192000,-128741000,,,,,,
BRKM5,PNA N1,BRASKEM PNA N1,Químicos,Petroquímicos,2322,30/06/2020,1007,3900,114199000,18511400000,45009300000,31/03/2020,797219000,"0,39%","-16,29%","-16,29%","-31,85%","-22,21%","-35,24%","15,28%","28,76%","37,82%","67,14%",,-237,-1851,1089,036,024,317,-034,"3,6%",827,2649,"3,0%",-980,-125,"11,7%","3,3%","-16,0%","2,2%","3,1%","780,8%",129,-3884,067,77177000000,12347400000,25777700000,38845300000,26497900000,-1000160000,51970200000,1699400000,-7809320000,12624600000,213507000,-3649020000,,,,,,
SUZB3,ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,3679,30/06/2020,2462,5059,415250000,50080900000,116305000000,31/03/2020,1361260000,"-2,49%","-2,83%","-2,83%","11,99%","-7,28%","5,34%","104,73%","36,50%","-22,35%","72,91%",,-334,1101,1509,183,047,1141,-062,"0,0%",1370,3503,"27,1%",-1103,334,"23,7%","12,2%","-55,0%","3,1%","3,6%","-330,1%",129,1666,026,105442000000,9557490000,19657800000,75781700000,66224200000,4547770000,27294700000,3319820000,-15013200000,6980790000,1331020000,-13422500000,,,,,,
BIOM3,ON,BIOMM SA ON,Saúde,Medicamentos e Outros Produtos,1771,30/06/2020,698,2365,2017080,1076630000,1194330000,31/03/2020,60792000,"0,06%","6,24%","6,24%","141,61%","42,82%","53,28%","-11,29%","48,05%","15,36%","-31,80%",,-1805,800,-2439,6720,294,1661,-955,"0,0%",-2830,-2705,"1014,4%",-098,221,"20,7%","-275,6%","-372,3%","-12,1%","-14,9%","-44,3%",221,136,004,365584000,65311000,118273000,183010000,117699000,134627000,16021000,-44151000,-59654000,8936000,-10084000,-19608000,,,,,,
LLIS3,ON,LE LIS BLANC DEUX ON,Comércio,"Tecidos, Vestuário e Calçados",690,30/06/2020,386,2535,2491740,475072000,1761040000,31/03/2020,68851000,"-2,13%","20,00%","20,00%","-71,84%","-59,41%","-35,53%","-12,16%","46,94%","70,82%","-74,48%",,-246,054,-191,052,018,-180,-044,"0,0%",295,-707,"-4,2%",-280,1279,"45,3%","-27,3%","-173,1%","-9,2%","-10,9%","-21,9%",074,162,034,2704280000,144099000,746821000,1430070000,1285970000,880587000,912378000,-249127000,-192996000,208691000,-31007000,0,,,,,,
CSAB4,PN,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA PN,Previdência e Seguros,Seguradoras,4800,05/06/2020,3486,4800,117,368640000,-,31/03/2020,7680000,"0,00%","0,00%","0,00%","22,03%","20,57%","5,76%","-19,16%","33,21%","31,90%","58,22%",,000,000,-,-,-,-,-,"7,1%",-,-,-,000,000,-,-,-,"0,0%",-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
HBOR3,ON,Helbor ON,Construção e Engenharia,Construção Civil,295,30/06/2020,115,496,47945000,1974300000,2846110000,31/03/2020,669255000,"2,08%","62,09%","62,09%","100,68%","-35,16%","201,33%","-22,96%","32,43%","5,71%","-61,33%",,-3320,157,-9426,150,045,091,630,"0,0%",-23821,-13589,"0,5%",-009,188,"13,4%","-1,6%","-4,0%","-0,5%","-0,6%","-4,7%",329,112,030,4380180000,538811000,3112690000,1410620000,871806000,1255410000,1317330000,-20945000,-59470000,258654000,4414000,5445000,,,,,,
BBSE3,ON NM,BBSEGURIDADE ON NM,Previdência e Seguros,Seguradoras,2727,30/06/2020,2240,3533,141285000,54540000000,-,31/03/2020,2000000000,"-3,47%","7,87%","7,87%","-5,57%","-20,95%","43,62%","8,47%","6,84%","20,42%","-15,61%",,000,000,-,-,-,-,-,"15,2%",-,-,-,000,000,-,-,-,"0,0%",-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TPIS3,ON NM,TRIUNFO PARTICIPACOES SA ON NM,Transporte,Exploração de Rodovias,125,30/06/2020,072,241,839311,220000000,2046830000,31/03/2020,176000000,"-0,79%","16,82%","16,82%","-22,36%","-26,04%","8,33%","-49,68%","6,16%","-28,08%","-35,56%",,-139,031,-436,021,006,-025,-008,"0,0%",519,-4053,"-16,1%",-090,398,"11,1%","-4,9%","-18,1%","-1,4%","-1,4%","-22,6%",022,277,028,3682960000,115858000,248543000,1942690000,1826830000,700585000,1025220000,-50507000,-158328000,253908000,12880000,-14943000,,,,,,
IRBR3,ON NM,IRBBRASIL RE ON NM,Previdência e Seguros,Seguradoras,1100,30/06/2020,670,4490,529121000,10296000000,-,31/03/2020,936000000,"-11,72%","32,53%","32,53%","-66,34%","-71,76%","44,31%","157,05%","17,71%","0,00%","0,00%",,000,000,-,-,-,-,-,"1,9%",-,-,-,000,000,-,-,-,"0,0%",-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BOBR4,PN,BOMBRIL SA PN,Prods de Uso Pessoal e de Limpeza,Produtos de Limpeza,224,30/06/2020,126,300,299583,583542000,837897000,31/03/2020,260510000,"-0,88%","37,42%","37,42%","2,28%","9,80%","-22,14%","-46,96%","143,35%","28,48%","-35,51%",,-6962,-226,519,055,086,-315,-090,"0,0%",614,745,"-0,2%",-003,-099,"37,9%","10,6%","-0,8%","16,6%","21,8%","3,2%",061,-106,156,679554000,19297000,291981000,273652000,254355000,-258521000,1061670000,112502000,-8382000,267501000,29985000,26596000,,,,,,
ALPK3,ON NM,ESTAPAR ON NM,Serviços,Serviços Diversos,930,30/06/2020,915,995,3282620,1802070000,3299650000,31/03/2020,193771000,"1,64%","-2,11%","-2,11%","-2,62%","-2,62%","0,00%","0,00%","0,00%","0,00%","0,00%",,000,330,-,-,075,-648,-112,"0,0%",-,-,-,000,282,-,-,-,"0,0%",-,-,046,291,-,2398690000,89397000,232595000,1586980000,1497580000,545486000,0,0,0,243381000,16001000,-25326000,,,,,,
